NOME,RUA,NUMERO,BAIRRO,CIDADE,CEP,LATITUDE,LONGITUDE,CNPJ,PRECO MEDIO,VALOR MINIMO,CATEGORIA,AVALIACAO,TEMPO ENTREGA,VALOR ORIGINAL,SUPER RESTAURANTE
Brasil Beans,Rua Lisboa,147,Parque Macedo,ITAQUAQUECETUBA,08595340,-23.468084,-46.30218,,$,55,Brasileira,0.0,0,,NÃO
Lar Doce Lar,Estr. Antônio Cordeiro Rosa,96,Jardim Paineira,ITAQUAQUECETUBA,08581020,-23.456993,-46.359623,42466939000196,$,25,Marmita,0.0,49,8.99,NÃO
"Cantinho da Ju Porções, Caldos e Pastel",Rua Borba Gato,280,Vila Augusta,ITAQUAQUECETUBA,08593140,-23.480458,-46.284311,55583274000142,$,20,Brasileira,0.0,0,,NÃO
Pastel Zmarti,Avenida Uberaba,252,Vila Virginia,Itaquaquecetuba,08573070,-23.488457,-46.350489,22969259000188,$,30,Pastel,0.0,65,0,NÃO
Esfiha,Rua Cambará Orli,905,Jardim Aracare,ITAQUAQUECETUBA,08574150,-23.5052,-46.358145,32334356000158,$$,20,Lanches,0.0,45,6.99,NÃO
B & M Açaí e Cupuaçu,Avenida Luiz Maria Fernandes,107,Jardim Fernandes,SUZANO,08693650,-23.496864,-46.300309,52058107000194,$,20,Açaí,0.0,0,,NÃO
M.P Lanches,Rua Vida e Arte,41,Jardim Ângelo,ARUJA,07400290,-23.398302,-46.322974,59754974000103,$,17,Lanches,0.0,0,,NÃO
Hr Presentes Criativos,Rua Albertina Duarte Leite,18,Jardim Alice,GUARULHOS,07263340,-23.464167,-46.39969,45940477000195,$,20,Presentes,0.0,0,,NÃO
Nova Araujo,Estrada Alberto Hinoto,3142,Jardim Nova Itaquá,ITAQUAQUECETUBA,08599000,-23.47066,-46.345786,26771875000180,$$,10,Pizza,4.7,60,4,NÃO
Loucos por lasanha e açaí ,Rua Cinco de Novembro,86,Vila Vermont,ITAQUAQUECETUBA,08572130,-23.490707,-46.338706,58044254000191,$,15,Marmita,0.0,45,6.99,NÃO
The Best Acai Poa,Avenida Antônio Massa,477,Centro,POA,08550355,-23.517926,-46.342412,58154101000105,$,20,Açaí,4.9,24,8.99,NÃO
Vovó Déia Hamburgueria,Rua Dinamarca,105,Jardim Adriane,ITAQUAQUECETUBA,08598733,-23.472606,-46.325781,,$,13,Brasileira,0.0,49,10.99,NÃO
Secret Love,Rua Mairiporã,218,Parque Recanto Mônica,ITAQUAQUECETUBA,08592070,-23.473938,-46.292005,,$,0,Brasileira,0.0,0,,NÃO
Pikburger Burger Shop,Estrada dos Índios,1359,Jardim Amanda Caiubi,ITAQUAQUECETUBA,08587000,-23.433995,-46.318167,,$,15,Lanches,4.8,120,22,NÃO
Pizzaria Renascer,Avenida Fernando Vasconcelos Rossi,1051,Pedreira,ITAQUAQUECETUBA,08572000,-23.488906,-46.341209,60080154000162,$,30,Pizza,5.0,35,7,NÃO
Confeitaria Cantinho do Café,Estrada da Promissão,156,Jardim Carolina,ITAQUAQUECETUBA,08588310,-23.4323,-46.317539,57584900000140,$,0,Doces & Bolos,0.0,0,,NÃO
Salgados Assafrao,Rua Foz de Iguaçu,558,Jardim Sao Paulo,ITAQUAQUECETUBA,08598500,-23.466639,-46.319424,,$,12,Brasileira,5.0,0,,NÃO
Felipoo's Hot Dog's & Almoço,RUA THYRSO BURGOS LOPES,55,CIDADE KEMEL,SAO PAULO,08130050,-23.510093,-46.367947,57790488000115,$,15,Marmita,0.0,49,9.99,NÃO
